"","title","release_year","age_certification","runtime","imdb_score","imdb_votes","tmdb_popularity","tmdb_score","drama","comedy","documentation","horror","crime","action","thriller","fantasy","romance","history","scifi","animation","reality","sport","family","music","war","western","isNotUS"
"152","The Next Karate Kid",-2.72347222756613,"PG",0.174678220692874,4.5,0.0155635228243769,-0.0199068793192338,-1.14372759063374,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0
"153","Geronimo: An American Legend",-2.84995943586811,"PG-13",0.46994284760517,6.5,-0.154283819097105,-0.166363072550941,-0.160921423426156,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"154","Double Team",-2.34401060266016,"R",-0.342034876403645,4.8,0.051633278437906,-0.087804986663604,-1.36190655647005,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
"155","Heavy",-2.59698501926414,"R",0.100862063964799,6.8,-0.214751033968099,-0.225047652260683,0.339489048675464,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"156","The Players Club",-2.21752339435817,"R",0.0639539856007624,5.9,-0.199965520154703,-0.152822347240947,-0.160921423426156,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"162","Kuch Kuch Hota Hai",-2.21752339435817,"G",3.05350833308777,7.6,0.211741604815021,-0.115141693326241,1.24022789845838,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"163","Children of God",-2.72347222756613,"",-1.44927722732476,6.3,-0.25500502645577,-0.256930347492384,-0.0608393290058315,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"164","Knight Rider 2000",-3.10293385247209,"G",-0.41585103313172,4.5,-0.231451675721721,-0.168684687034073,-1.36190655647005,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"166","Hum Aapke Hain Koun..!",-2.72347222756613,"",3.82857797873254,7.5,-0.0688382530815635,-0.188509573013068,0.0392427654144923,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"167","Dil Se..",-2.21752339435817,"PG-13",2.24153060907895,7.5,-0.00110081318630238,-0.17031346368716,0.339489048675464,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"168","Jerry Seinfeld: I'm Telling You for the Last Time",-2.21752339435817,"G",-1.00638028695631,7.9,-0.207199439436027,-0.194489857440822,1.14014580403806,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"170","Sankofa",-2.84995943586811,"",0.802115552881504,7,-0.254278911596917,-0.242672474253046,0.0392427654144923,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"171","Herod's Law",-2.09103618605619,"R",0.765207474517467,7.8,-0.205783515461263,-0.137555604880666,1.44039208729903,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"172","Wild Tango",-2.84995943586811,"R",0.802115552881504,6.7,-0.246182730920704,-0.203363043685252,-0.361085612266804,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
"173","The Last Days",-2.21752339435817,"PG-13",-0.563483346587868,7.9,-0.220823169475259,-0.219480639521027,1.34030999287871,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"174","Sam Kinison: Live in Vegas",-3.10293385247209,"",-1.11710452204842,6.6,-0.258054708862953,-0.257282843932232,-0.461167706687128,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"175","Bill Hicks: Revelations",-2.84995943586811,"",-1.04328836532035,8.5,-0.232441007216909,-0.219261848627328,1.64055627613968,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
